facebook.com,57.144.220.1
microsoft.com,150.171.109.150
yahoo.com,74.6.143.25
wikipedia.org,198.35.26.224
msn.com,204.79.197.219
live.com,204.79.197.212
youtube.com,142.251.218.110
blogspot.com,74.125.137.191
bing.com,150.171.28.10
taobao.com,59.82.43.239
twitter.com,162.159.140.229
ask.com,151.101.42.114
163.com,59.111.160.244
adobe.com,23.212.62.92
mozilla.com,35.190.14.201
sdjjdsaf.com,
andysayler.com,159.89.253.85
wmfo.org,23.92.21.128
qq.com,113.108.81.189
sina.com.cn,36.51.254.91
youku.com,106.11.43.183
baidu.com,124.237.177.164
soso.com,43.153.249.87
