msn.com,204.79.197.219
microsoft.com,150.171.109.148
youtube.com,142.251.218.110
bing.com,150.171.27.10
yahoo.com,74.6.231.20
live.com,204.79.197.212
qq.com,203.205.254.157
wikipedia.org,198.35.26.224
facebook.com,57.144.220.1
ask.com,151.101.42.114
twitter.com,162.159.140.229
adobe.com,23.212.62.72
mozilla.com,35.190.14.201
andysayler.com,159.89.253.85
163.com,59.111.160.244
blogspot.com,142.251.46.233
wmfo.org,23.92.21.128
taobao.com,59.82.122.130
sina.com.cn,36.51.254.91
youku.com,106.11.43.246
baidu.com,124.237.177.164
soso.com,43.153.249.87
