N,time_µs
100,667
100,475
100,402
100,586
100,631
100,587
100,621
100,601
100,611
100,434
100,473
100,506
100,510
100,480
100,439
100,453
100,422
100,419
100,437
100,439
100,425
100,415
100,365
100,390
100,384
100,442
100,440
100,387
100,393
100,428
100,446
100,355
100,428
100,387
100,362
100,369
100,374
100,457
100,444
100,364
100,442
100,567
100,492
100,466
100,496
100,470
100,456
250,3797
250,3702
250,3323
250,3185
250,3046
250,2957
250,3119
250,3180
250,3184
250,3075
250,3270
500,24192
500,23906
500,21694
500,20325
500,21863
500,19096
500,18690
500,21394
500,23183
500,19184
500,18763
500,22623
500,22630
750,59725
750,67587
750,60291
750,60969
750,60745
1000,149227
1000,139181
1000,132461
1000,144468
1500,670047
1500,661888
1500,668400
2000,1999464
2000,2019900
2000,2036099
