N,time_µs
100,25536766
100,25032361
100,25029065
100,25032172
100,20024625
100,255200
100,4989
100,3319
100,3174
100,3214
100,3007
100,3011
100,3170
100,3074
100,2979
100,2692
100,2659
100,2696
100,2899
100,2876
100,2913
100,2786
100,2748
100,2727
100,2718
100,2652
100,2636
100,2700
100,2737
100,2805
100,2734
100,2616
100,2629
100,2663
100,2643
100,2600
100,2982
100,2710
100,2913
100,3031
100,2941
100,2580
100,2815
100,2906
100,2997
100,2833
100,3062
100,2694
100,2855
100,2836
100,2879
100,2994
100,2753
100,2668
100,2567
100,2624
100,2883
100,2600
100,2766
100,2679
100,2999
100,2658
100,2743
100,2592
100,2540
100,2615
100,2925
100,2668
100,2659
100,2530
100,2581
100,2582
100,2807
100,2904
100,2761
100,2540
100,2617
100,2527
100,2760
100,3049
100,2820
100,2724
100,2810
100,2647
100,2606
100,2581
100,2619
100,2626
100,2909
100,2687
100,2960
100,2795
100,2586
100,2544
100,2519
100,2858
100,2888
100,2856
100,2815
100,2790
100,2904
100,2893
100,2836
100,2792
100,2924
100,2523
100,2673
100,2807
100,2646
100,2569
100,2606
100,2546
100,2702
100,2664
100,3045
100,2535
100,2926
100,2518
100,2871
100,3081
100,2691
100,2523
100,2802
100,2861
100,2973
100,2715
100,2683
100,2708
100,2957
100,2791
100,2616
100,3037
100,2673
100,2634
100,3129
100,2647
100,2505
100,2848
100,2714
100,2810
100,2891
100,2835
100,2708
100,2620
100,2763
100,2879
100,2761
100,3118
100,2795
100,2587
100,2657
100,2540
100,22378
100,3319
100,2645
100,2502
100,2615
100,2637
100,2788
100,2583
100,3121
100,2647
100,2641
100,2612
100,3091
100,2635
100,2757
100,2830
100,2677
100,2798
100,2690
100,2879
100,2844
100,2651
100,2840
100,3043
100,2714
100,2600
100,2648
100,2519
100,2851
100,2669
100,2972
100,2752
100,2821
100,2651
100,3036
100,2550
100,2668
100,2895
100,2704
100,2951
100,2734
100,2660
100,2660
100,2925
100,2536
100,2827
100,3028
100,2565
100,2583
100,2809
100,2642
100,2846
100,2987
100,2644
100,2503
100,2920
100,2694
100,2959
100,2707
100,2648
100,2775
100,2673
100,2708
100,3038
100,2573
100,2580
100,2671
100,2744
100,2984
100,2615
100,2671
100,2850
100,2542
100,2793
100,2754
100,2621
100,3068
100,2518
100,2692
100,2580
100,2908
100,2538
100,3046
100,2721
100,2911
100,2496
100,2857
100,2894
100,2753
100,2596
100,2536
100,2986
100,2724
100,2569
100,2760
100,2964
100,2589
100,2532
100,2907
100,2519
100,2832
100,2720
100,2632
100,2870
100,2942
100,2530
100,2869
100,2544
100,2538
100,2659
100,2825
100,2837
100,2841
100,2569
100,2985
100,2516
100,2717
100,2720
100,2892
100,2564
100,2643
100,2938
100,2630
100,2916
100,2915
100,2471
100,2574
100,2845
100,2978
100,2553
100,2741
100,2647
100,2900
100,2676
100,2829
100,2591
100,3122
100,2500
100,2555
100,2708
100,2967
100,2546
100,2813
100,3009
100,2705
100,2582
100,2505
100,2790
100,2880
100,2732
100,2650
100,2760
100,2554
100,2782
100,2875
100,3047
100,2620
100,2617
100,2581
100,2693
100,2763
100,2587
100,2634
100,2703
100,2563
100,2981
100,2785
100,2792
100,2564
100,2626
100,2483
100,2716
100,2506
100,2648
100,2736
100,2746
100,2600
100,2866
100,2790
100,2615
100,2680
100,2549
100,2791
100,2797
100,2621
100,2981
100,2766
100,2515
100,2595
100,2669
100,2791
100,2707
100,2490
100,2855
100,2515
100,2910
100,2595
100,2866
100,2617
100,2738
100,2920
100,2556
100,2612
100,2754
100,2611
100,2720
100,3093
100,2561
100,2593
100,2696
100,2560
100,2612
100,2953
100,2659
100,2518
100,2827
100,2531
100,2913
100,2799
100,2754
100,2706
100,2582
100,2615
100,2847
100,2552
100,2947
100,2570
100,2515
100,2936
100,2595
100,2743
100,2764
100,2513
100,2958
100,2704
100,2500
100,2844
100,2545
100,2837
100,2698
100,2676
100,2764
100,2647
100,2572
100,2783
100,2594
100,2669
100,3005
100,2653
100,2668
100,2547
100,2727
100,2644
100,2527
100,3001
100,2770
100,2677
100,2529
100,2488
100,2763
100,2739
100,2677
100,2815
100,2589
100,2910
100,2589
100,2550
100,2550
100,2860
100,2684
100,2598
100,2620
100,2642
100,2823
100,2579
100,2487
100,2881
100,2878
100,2636
100,2700
100,2749
100,2598
100,2614
100,2562
100,2627
100,2530
100,2833
100,2601
100,2731
100,2610
100,2875
100,2589
100,2574
100,2837
100,2814
100,2511
100,2547
100,2816
100,2728
100,2603
100,2652
100,2559
100,2771
100,2580
100,2513
100,2795
100,2796
100,2488
100,2608
100,2750
100,2701
100,2591
100,2664
100,2626
100,2660
100,2531
100,2987
100,2524
100,2640
100,2593
100,2710
100,2494
100,3089
100,2532
100,2739
100,2579
100,2718
100,2676
100,2478
100,2682
100,2663
100,2534
100,2521
100,2596
100,2935
100,2631
100,2553
100,2539
100,2872
100,2690
100,2611
100,2588
100,2614
100,2713
100,2556
100,2713
100,2530
100,2575
100,2630
100,2663
100,2510
100,2803
100,2574
100,2618
100,2780
100,2540
100,2447
100,2908
100,2573
100,2791
100,2651
100,2567
100,2565
100,2628
100,3007
100,2550
100,2604
100,2585
100,2688
100,2732
100,2502
100,2699
100,2593
100,2686
100,2651
100,2522
100,2749
100,2609
100,2926
100,2562
100,2690
100,2615
100,2545
100,2625
100,2551
100,2879
100,2541
100,2535
100,2588
100,2538
100,3046
100,2647
100,2575
100,2607
100,2726
100,3126
100,2963
100,2695
100,2547
100,2720
100,2519
100,2541
100,2669
100,2670
100,2526
100,2540
100,2674
100,2612
100,2520
100,2586
100,2782
100,2601
100,2652
100,2520
100,2550
100,2842
100,2813
100,2572
100,2479
100,2556
100,2754
100,2501
100,2783
100,2579
100,2765
100,2575
100,2501
100,2535
100,3009
100,2669
100,2551
100,2576
100,2691
100,2540
100,2491
100,21591
100,3330
100,2813
100,2893
100,2530
100,2873
100,2522
100,2572
100,2610
100,2606
100,2624
100,2785
100,2841
100,2770
100,2909
100,2775
100,2656
100,2525
100,2710
100,2666
100,2499
100,2714
100,2507
100,2636
100,2675
100,2637
100,2637
100,2603
100,2596
100,2571
100,2709
100,2570
100,2712
100,2609
100,2553
100,2561
100,2587
100,2635
100,2551
100,2501
100,2462
100,2777
100,2579
100,2610
100,2561
100,2770
100,2611
100,2438
100,2712
100,2751
100,2616
100,2472
100,2585
100,2578
100,2699
100,3006
100,2647
100,2595
100,2538
100,2645
100,2572
100,2532
100,2605
100,2437
100,2577
100,2536
100,2859
100,2476
100,2648
100,2634
100,2548
100,2625
100,2677
100,2540
100,2762
100,2615
100,2715
100,2895
100,2856
100,2693
100,2698
100,2591
100,2573
100,2567
100,2574
100,2556
100,2634
100,2618
100,2654
100,2586
100,2610
100,2611
100,2587
100,2604
100,2539
100,2575
100,2473
100,2522
100,2570
100,2730
100,2589
100,2559
100,2654
100,2433
100,2509
100,2476
100,2678
100,2576
100,2617
100,2559
100,2682
100,2495
100,2527
100,2425
100,2760
100,2444
100,2891
100,2588
100,2720
100,2617
100,2610
100,2509
100,2734
100,2494
100,2595
100,2549
100,2499
100,2632
100,2740
100,2675
100,2604
100,2554
100,2679
100,2807
100,3022
100,2538
100,2692
100,2656
100,2597
100,2657
100,2538
100,2687
100,2543
100,2531
100,2702
100,2606
100,2574
100,2593
100,2542
100,2490
100,2710
100,2466
100,2619
100,2674
100,2640
100,2831
100,3186
100,2521
100,2656
100,2519
100,2584
100,2534
100,2611
100,2603
100,2684
100,2668
100,2806
100,2966
100,2658
100,2630
100,2607
100,2571
100,2727
100,2477
100,2473
100,2598
100,2616
100,2545
100,2574
100,2637
100,2498
100,2621
100,2729
100,2659
100,2926
100,2951
100,2580
100,2503
100,2535
100,2493
100,2642
100,2598
100,2573
100,2465
100,2643
100,2596
100,2647
100,2603
100,2447
100,2547
100,2515
100,2619
100,2658
100,2671
100,2764
100,2934
100,3010
100,2540
100,2664
100,2542
100,2623
100,2553
100,2730
100,2724
100,3048
100,2753
100,2537
100,2594
100,2598
100,2563
100,2488
100,2486
100,2522
100,2466
100,2851
100,2498
100,2570
100,2646
100,2525
100,2486
100,2693
100,2556
100,2538
100,2576
100,2564
100,2736
100,2638
100,2763
100,2994
100,2536
100,2501
100,2479
100,2533
100,2686
100,2589
100,2560
100,2703
100,2482
100,2502
100,2631
100,2509
100,2777
100,2674
100,2849
100,2766
100,2943
100,2615
100,2584
100,2863
100,2876
100,2901
100,2585
100,2571
100,2603
100,2580
100,2642
100,2710
100,2964
100,2886
100,2599
100,2610
100,2612
100,2538
100,2824
100,2921
100,2812
100,2492
100,2688
100,2664
100,2935
100,2921
100,2595
100,2603
100,2830
100,2928
100,2958
100,2580
100,2604
100,2611
100,2572
100,2789
100,2959
100,2980
100,2674
100,2799
100,2986
100,2645
100,2613
100,2549
100,2799
100,2982
100,2945
100,2661
100,2826
100,3018
100,2788
100,2640
100,2581
100,2611
100,3034
100,2879
100,2543
100,2573
100,2622
100,2703
100,2901
100,3078
100,2626
100,2502
100,2555
100,2676
100,2632
100,2742
100,3073
100,2672
100,2724
100,2650
100,2747
100,3209
100,2515
100,2617
100,2559
100,2810
100,2950
100,2600
100,2644
100,2665
100,2526
100,2761
100,2939
100,3003
100,2629
100,2969
100,2821
100,2601
100,2557
100,2659
100,2777
100,3094
100,2590
100,2605
100,2628
100,2690
100,3028
100,2861
100,2602
100,2586
100,2612
100,2893
100,2951
100,2582
100,2732
100,2991
100,3043
100,2787
100,2940
100,2875
100,2565
100,2553
100,2573
100,2595
100,2564
100,2828
100,2923
100,2735
100,2530
100,2564
100,2523
100,2535
100,2619
100,2664
100,2938
100,2972
100,2626
100,2800
100,2990
100,2562
100,2544
100,2715
100,2540
100,2619
100,2768
100,2955
100,2570
100,2712
100,2564
100,2925
100,2999
100,2746
100,2974
100,3141
100,2632
100,3039
100,2627
100,2610
100,2577
100,2567
100,2521
100,2583
100,2971
100,2956
100,2709
100,2816
250,26005284
250,25033654
250,25032919
250,25033991
250,25035438
250,25032357
250,25033751
250,25031984
250,25035467
250,15021784
250,501264
250,7356
250,6386
250,6257
250,6109
250,6039
250,5719
250,5282
250,5317
250,5651
250,6294
250,5641
250,5461
250,5592
250,5913
250,5831
250,5427
250,5325
250,5798
250,5603
250,5830
250,5337
250,5391
250,5670
250,5473
250,5350
250,5622
250,5294
250,5613
250,5819
250,5395
250,5269
250,5480
250,5333
250,5335
250,5389
250,5562
250,5598
250,5351
250,5373
250,5609
250,5736
250,5600
250,5353
250,5493
250,5667
250,5245
250,5447
250,5289
250,5779
250,5396
250,5322
250,5628
250,5576
250,5107
250,5252
250,5527
250,5694
250,5338
250,5298
250,5359
250,5607
250,5365
250,5468
250,5780
250,5314
250,5284
250,5736
250,5276
250,5385
250,5368
250,5769
250,5158
250,5242
250,5499
250,5633
250,5650
250,5907
250,5317
250,5184
250,5713
250,5295
250,5104
250,5372
250,5552
250,5772
250,5182
250,5357
250,5626
250,5216
250,5374
250,5577
250,5780
250,5396
250,5754
250,5484
250,5780
250,5352
250,5728
250,5307
250,5790
250,5379
250,5684
250,5190
250,5495
250,5584
250,5667
250,5675
250,5397
250,5225
250,5794
250,5289
250,5676
250,5265
250,5290
250,5506
250,5717
250,5371
250,5809
250,5163
250,5375
250,5828
250,5427
250,5832
250,5393
250,5665
250,5497
250,5700
250,5257
250,5695
250,5357
250,5399
250,5722
250,5240
250,5195
250,5472
250,5437
250,5112
250,5425
250,5927
250,5679
250,5199
250,5653
250,5902
250,5339
250,5721
250,5251
250,5681
250,5352
250,5655
250,5300
250,5495
250,5619
250,5217
250,5356
250,5309
250,5627
250,5490
250,5766
250,5311
250,5561
250,5386
250,5251
250,5716
250,5355
250,5531
250,5803
250,5668
250,5313
250,5413
250,5875
250,5486
250,5718
250,5366
250,5601
250,5218
250,5630
250,5615
250,5173
250,5857
250,5239
250,5241
250,5707
250,5248
250,5345
250,5793
250,5598
250,5666
250,5335
250,5475
250,5393
250,5239
250,5543
250,5461
250,5391
250,5723
250,5196
250,5652
250,5406
250,5474
250,5770
250,5493
250,5815
250,5237
250,5738
250,5250
250,5285
250,5833
250,5384
250,5902
250,5706
250,5731
250,5633
250,5255
250,5287
250,5398
250,5790
250,5417
250,5739
250,5276
250,5762
250,5341
250,5657
250,5374
250,5287
250,5672
250,5408
250,5550
250,5292
250,5225
250,5418
250,5776
250,5648
250,5604
250,5224
250,5887
250,5153
250,5762
250,5285
250,5204
250,5667
250,5175
250,5351
250,5671
250,5247
250,5377
250,5938
250,5571
250,5569
250,5342
250,5764
250,5363
250,5563
250,5326
250,5816
250,5324
250,5488
250,5681
250,5158
250,5741
250,5262
250,5367
250,5789
250,5309
250,5829
250,5247
250,5678
250,5604
250,5803
250,5277
250,5668
250,5294
250,5379
250,5679
250,5373
250,5659
250,5560
250,5668
250,5453
250,5531
250,5402
250,5320
250,5662
250,5230
250,5582
250,5731
250,5553
250,5659
250,5669
250,5496
250,5689
250,5352
250,5764
250,5276
250,5660
250,5511
250,5427
250,5808
250,5537
250,5896
250,5889
250,5767
250,5371
250,5758
250,5327
250,5762
250,5207
250,5347
250,5839
250,5735
250,5193
250,5271
250,5886
250,5500
250,5806
250,5665
250,5227
250,5414
250,5636
250,5250
250,5658
250,5466
250,5605
250,5402
250,5457
250,5721
250,5563
250,5770
250,5604
250,5352
250,5905
250,5572
250,5673
250,5805
250,5349
250,5687
250,5357
250,5624
250,5363
250,5207
250,5929
250,5723
250,5383
250,5336
250,5635
250,5474
250,5848
250,5827
250,5410
250,5919
250,5815
250,5341
250,5918
250,5380
250,5650
250,5328
250,5725
250,5485
250,5787
250,5242
250,5606
250,5456
250,5728
250,5488
250,5819
250,5886
250,5313
250,5778
250,5255
250,5801
250,5180
250,5422
250,5715
250,5467
250,5736
250,5994
250,5807
250,5627
250,5773
250,5244
250,5760
250,5390
250,5778
250,5368
250,5704
250,5332
250,5745
250,5521
250,5488
250,5509
250,5736
250,5728
250,5308
250,5394
250,5946
250,5713
250,5229
250,5924
250,5510
250,5585
250,5267
250,5899
250,5408
250,5674
250,5554
250,5308
250,5294
250,5590
250,5472
250,5828
250,5239
250,5888
250,5478
250,5787
250,5795
250,5106
250,5513
250,5759
250,5544
250,5418
250,5406
250,5631
250,5306
250,5944
250,5749
250,5371
250,5624
250,5433
250,5604
250,5533
250,5771
250,5625
250,5250
250,5417
250,6015
250,5726
250,5668
250,5334
250,5421
250,5775
250,5515
250,5786
250,5622
250,5175
250,5271
250,5857
250,5758
250,5359
250,5708
250,5404
250,5718
250,5422
250,5903
250,5637
250,5289
250,5651
250,5890
250,5817
250,5858
250,5219
250,5887
250,5540
250,5519
250,5778
250,5384
250,5922
250,5398
250,5668
250,5393
250,5788
250,5608
250,5624
250,5776
250,5404
250,5925
250,5740
250,5354
250,5839
250,5794
250,5283
250,5684
250,5586
250,5850
250,5313
250,5594
250,5378
250,6080
250,5861
250,5365
250,5735
250,18602
250,5859
250,5578
250,5635
250,5734
250,5726
250,5489
250,5721
250,5712
250,5547
250,5625
250,5487
250,5597
250,5338
250,5908
250,5615
250,5412
250,5793
250,5484
250,5964
250,5666
250,5351
250,5582
250,5312
250,5696
250,5366
250,5706
250,5337
250,5706
250,5133
250,5432
250,5833
250,5619
250,5338
250,5731
250,5376
250,5730
250,5566
250,5205
250,5294
250,5811
250,5699
250,5378
250,5730
250,5324
250,5778
250,5649
250,5754
250,5840
250,5752
250,5357
250,5933
250,5970
250,5530
250,5380
250,5743
250,5337
250,5661
250,5532
250,5822
250,5806
250,5243
250,5863
250,5645
250,5402
250,5773
250,5449
250,5811
250,5827
250,5376
250,5936
250,5603
250,5408
250,5906
250,5861
250,5109
250,5573
250,5599
250,5761
250,5516
250,5817
250,5930
250,5550
250,5376
250,5900
250,5730
250,5212
250,5853
250,5471
250,5839
250,5690
250,5423
250,5763
250,5725
250,5206
250,5642
250,5483
250,5663
250,5306
250,5685
250,5362
250,5984
250,5536
250,5266
250,5872
250,5693
250,5121
250,5354
250,5929
250,5795
250,5446
250,5637
250,5574
250,5447
250,5715
250,5413
250,5958
250,5692
250,5244
250,5791
250,5910
250,5310
250,5760
250,5598
250,5232
250,5421
250,5764
250,5754
250,5801
250,5330
250,5724
250,5758
250,5336
250,5804
250,5094
250,5750
250,5448
250,5685
250,5479
250,5466
250,5887
250,5601
250,5728
250,5633
250,6069
250,5811
250,5535
250,5884
250,5711
250,5930
250,5175
250,5673
250,5497
250,5835
250,5943
250,5762
250,5371
250,5923
250,5808
250,5998
250,5593
250,5449
250,5837
250,5703
250,5312
250,5599
250,5352
250,5770
250,5371
250,5795
250,5783
250,5419
250,5755
250,5722
250,5244
250,5879
250,5772
250,5288
250,5972
250,5921
250,5589
250,5389
250,6022
250,5964
250,5643
250,5385
250,5757
250,5616
250,5277
250,5952
250,5368
250,5759
250,5774
250,5280
250,5815
250,5806
250,5380
250,5733
250,5734
250,5129
250,5965
250,5584
250,5248
250,5601
250,5226
250,5641
250,5139
250,5367
250,5868
250,5943
250,5544
250,5756
250,5760
250,5868
250,5610
250,5504
250,5748
250,5621
250,5596
250,5700
250,5765
250,5361
250,6044
250,5763
250,5883
250,5360
250,5761
250,5956
250,5550
250,5348
250,5778
250,5591
250,5819
250,5700
250,6046
250,5647
250,5741
250,5411
250,5833
250,5637
250,5353
250,5612
250,5523
250,5939
250,5938
250,5764
250,5773
250,5663
250,5268
250,5374
250,5862
250,5755
250,5574
250,5455
250,5797
250,5708
250,5269
250,5884
250,5622
250,5179
250,5498
250,5760
250,5631
250,5849
250,5450
250,5648
250,5947
250,5769
250,5422
250,5804
250,5708
250,5631
250,5443
250,5741
250,5498
250,5514
250,5696
250,5756
250,5359
250,5832
250,5749
250,5283
250,5905
250,5845
250,5359
250,5651
250,5387
250,5645
250,5701
250,5270
250,5918
250,5949
250,5811
250,5838
250,5637
250,5338
250,5668
250,5127
250,5604
250,5171
250,5783
250,5373
250,6065
250,5285
250,5805
250,5192
250,5730
250,5781
250,5174
250,5485
250,5421
250,5985
250,5978
250,5842
250,5340
250,5852
250,5789
250,5366
250,5719
250,5886
250,6024
250,5625
250,5383
250,5783
250,5503
250,5351
250,5873
250,5397
250,5872
250,5735
250,531649
250,7825
250,6907
250,6847
250,6074
250,6484
250,6517
250,5873
250,5475
250,6125
250,5606
250,5891
250,5822
250,5678
250,5590
250,5818
250,5968
250,5764
250,5759
250,5694
250,5265
250,5757
250,5565
250,5497
250,5815
250,5796
250,19649
250,5826
250,5484
250,5743
250,5804
250,5428
250,5795
250,5361
250,5796
250,5818
250,5770
250,5651
250,5411
250,6024
250,5806
250,5881
250,5182
250,6114
250,5743
250,5459
250,5550
250,5730
250,5951
250,5465
250,5654
250,5942
250,5717
250,5832
250,5591
250,5364
250,5665
250,5491
250,5819
250,6041
250,5817
250,5739
250,5637
250,5461
250,5800
250,5837
250,5832
250,5940
250,5248
250,5944
250,5781
250,5802
250,5799
250,5616
250,5708
250,5863
250,5705
250,5881
250,5599
250,5214
250,5555
250,5508
250,5651
250,5310
250,5749
250,5596
250,5343
250,6046
250,5808
250,5489
250,5582
250,5843
250,5833
250,5734
250,5704
250,5356
250,5902
250,5823
250,5575
250,5266
250,6019
250,5778
250,5871
250,5710
250,5266
250,5811
250,5652
250,5392
250,5893
250,5742
250,5984
250,5721
250,5575
250,5544
250,5862
250,5856
250,5836
250,5933
250,5653
250,5310
250,5829
250,5260
250,5852
250,5888
250,5711
250,5274
250,5768
250,5775
250,5728
250,5513
250,5833
250,5916
250,5787
250,5668
250,5730
250,5198
250,6089
250,5864
250,5687
250,5719
250,5248
250,5577
250,5802
250,5485
250,5754
250,6120
250,5950
250,5728
250,5906
250,5796
250,5717
250,5467
250,5688
250,5881
250,5876
250,5913
250,5657
250,5762
250,5651
250,5866
250,5940
250,5848
250,5754
