size,time_µs
100,413
100,424
100,410
250,3722
250,2925
250,2779
250,2641
250,2274
250,2386
250,2379
250,2247
250,2221
250,2324
250,2256
250,2261
250,2283
250,2087
250,2284
250,2108
250,1928
250,2115
250,2127
250,2305
250,2027
250,2217
250,2260
250,2051
250,2256
250,2009
250,2105
250,1927
250,2175
250,1968
250,2204
250,2056
250,2083
250,2043
500,18910
500,16711
500,15765
500,17118
500,17060
500,15840
500,16746
750,49776
750,55532
750,52430
750,51901
1000,121276
1000,116326
1000,125064
1500,460315
1500,464751
1500,471963
2000,1685840
2000,1681254
2000,1718139
