size,time_µs
10000000,68810
10000000,67348
10000000,60353
10000000,62148
10000000,71267
10000000,64812
10000000,63207
50000000,338493
50000000,312320
50000000,285279
50000000,327851
50000000,281426
50000000,286099
50000000,289079
50000000,320937
50000000,319361
100000000,624201
100000000,582066
100000000,687727
100000000,542930
100000000,567755
100000000,627532
100000000,640721
100000000,654157
100000000,679911
100000000,572960
500000000,3280652
500000000,3156985
500000000,3216203
