size,time_µs
100,26232288
100,25031738
100,25029538
100,25032243
100,25027610
100,25024369
100,25028683
100,25029073
100,25030483
100,25029766
100,25028669
100,25028187
100,25029699
100,25022974
100,25030394
100,5009750
100,4118
100,2845
100,2293
100,2106
100,2277
100,2393
100,2150
100,2228
100,2195
100,2070
100,1986
100,1914
100,2060
100,2027
100,1937
100,2047
100,1982
100,1900
100,2069
100,1936
100,1915
100,1929
100,1898
100,1969
100,1950
100,1959
100,1867
100,1852
100,1897
100,1922
100,1928
100,1922
100,2006
100,2013
100,1837
100,1936
100,1944
100,1891
100,1914
100,1906
100,1861
100,1812
100,2106
100,1834
100,1985
100,1843
100,1887
100,1787
100,1912
100,1832
100,1933
100,1938
100,1931
100,1841
100,1882
100,1879
100,1854
100,1947
100,1828
100,1865
100,1907
100,1858
100,1890
100,1905
100,1872
100,1778
100,1918
100,2058
100,1957
100,1837
100,1871
100,1881
100,1798
100,1818
100,1863
100,1880
100,1927
100,1919
100,1856
100,1890
100,1792
100,1823
100,1870
100,1985
100,1885
100,1920
100,1800
100,1848
100,1869
100,1872
100,1903
100,2002
100,1969
100,1909
100,1871
100,1888
100,1927
100,1931
100,1809
100,1920
100,1870
100,1905
100,2004
100,1854
100,1821
100,1829
100,1871
100,1960
100,2075
100,1838
100,1853
100,2083
100,1825
100,1932
100,2108
100,1915
100,1829
100,1868
100,1803
100,1990
100,1910
100,1860
100,1970
100,1810
100,1857
100,1857
100,1937
100,2297
100,1892
100,1857
100,1852
100,1838
100,1868
100,1840
100,1905
100,2045
100,1864
100,1867
100,1861
100,1838
100,1850
100,1884
100,2081
100,1902
100,1813
100,1836
100,1852
100,1823
100,1894
100,1771
100,1892
100,2211
100,1960
100,1887
100,1849
100,1890
100,1826
100,1920
100,2283
100,1919
100,1913
100,1860
100,1895
100,1952
100,1837
100,1837
100,1894
100,1866
100,1984
100,1921
100,1846
100,2239
100,1845
100,1858
100,1821
100,1834
100,2221
100,2086
100,1916
100,1871
100,1917
100,1916
100,2058
100,1829
100,1825
100,1867
100,1883
100,1946
100,2297
100,1860
100,1919
100,1892
100,1899
100,1886
100,1812
100,1914
100,1826
100,1945
100,1871
100,1974
100,1946
100,1913
100,1866
100,1888
100,1886
100,1825
100,1953
100,1966
100,1857
100,1909
100,1982
100,1870
100,1889
100,1865
100,1981
100,1939
100,1857
100,1923
100,1815
100,1855
100,1810
100,1999
100,1945
100,1912
100,1880
100,1814
100,1878
100,1921
100,2183
100,1873
100,1865
100,1839
100,1882
100,2022
100,1932
100,1886
100,1900
100,1905
100,1888
100,1926
100,2007
100,1866
100,1864
100,1809
100,2024
100,1899
100,1881
100,1995
100,1932
100,1854
100,1908
100,1985
100,2070
100,1817
100,1921
100,1858
100,1845
100,2103
100,1855
100,1856
100,1827
100,1875
100,2006
100,2061
100,1856
100,1925
100,1797
100,1945
100,1975
100,2025
100,1875
100,1992
100,2023
100,1902
100,1873
100,1921
100,1911
100,1862
100,2005
100,1878
100,1874
100,1976
100,1880
100,2197
100,1863
100,1968
100,1901
100,2077
100,1871
100,1899
100,1915
100,1825
100,1825
100,2061
100,1913
100,1969
100,1857
100,1951
100,1835
100,2069
100,1917
100,1853
100,2046
100,1888
100,2243
100,1914
100,1940
100,2223
100,1853
100,1889
100,1882
100,2125
100,1982
100,1943
100,1877
100,1965
100,2018
100,1914
100,1945
100,1899
100,2049
100,1907
100,1888
100,1852
100,1911
100,2121
100,1867
100,1865
100,1868
100,1879
100,1907
100,1864
100,1875
100,1979
100,1842
100,1934
100,2221
100,1855
100,1908
100,2140
100,1892
100,1972
100,1932
100,2030
100,1871
100,1872
100,1998
100,2107
100,1882
100,1885
100,1888
100,1915
100,2155
100,1887
100,1899
100,1907
100,1994
100,1929
100,1990
100,1802
100,2068
100,1867
100,1959
100,1841
100,1850
100,2105
100,1880
100,1899
100,1867
100,1886
100,2087
100,1980
100,1865
100,1941
100,2069
100,1981
100,1874
100,1985
100,1942
100,1913
100,1862
100,1836
100,22596
100,2646
100,2028
100,1896
100,1936
100,1878
100,2118
100,1891
100,1926
100,1947
100,2018
100,1890
100,1974
100,1866
100,2047
100,2056
100,1958
100,1917
100,2079
100,1911
100,1879
100,1885
100,2083
100,1885
100,1921
100,1870
100,2103
100,1951
100,1891
100,1854
100,1969
100,2027
100,1852
100,2011
100,2467
100,1867
100,1936
100,2100
100,1844
100,1942
100,2004
100,2050
100,1911
100,1869
100,1949
100,2171
100,1935
100,1851
100,2062
100,1896
100,2009
100,1872
100,1985
100,1912
100,1943
100,2072
100,2111
100,1958
100,1930
100,2146
100,1955
100,1880
100,1934
100,2087
100,2052
100,1908
100,2141
100,1889
100,1908
100,1863
100,2147
100,1973
100,1884
100,2111
100,1889
100,1851
100,1931
100,2070
100,1984
100,1892
100,2003
100,2121
100,1921
100,1885
100,2160
100,1927
100,1901
100,1906
100,2190
100,1822
100,1968
100,2122
100,1932
100,1935
100,1891
100,1976
100,2119
100,1895
100,2247
100,1972
100,1973
100,2078
100,1894
100,1918
100,2008
100,1908
100,2044
100,2142
100,1979
100,1874
100,1862
100,2101
100,1995
100,1910
100,2004
100,2049
100,1875
100,2012
100,2158
100,1887
100,1879
100,2167
100,1896
100,1840
100,1975
100,2151
100,1883
100,1887
100,2054
100,2005
100,1923
100,1875
100,2193
100,1866
100,1891
100,1896
100,1976
100,1967
100,1828
100,2134
100,1862
100,2061
100,1962
100,2108
100,1865
100,1849
100,2232
100,1908
100,1867
100,1839
100,2031
100,1923
100,1921
100,2261
100,1874
100,1836
100,2027
100,2028
100,1882
100,1914
100,2033
100,1863
100,1860
100,1914
100,2323
100,1897
100,1893
100,2118
100,1903
100,1889
100,2183
100,1850
100,1973
100,2256
100,1929
100,1847
100,2095
100,1856
100,1881
100,1959
100,2142
100,1905
100,2067
100,2099
100,2017
100,2364
100,1897
100,1978
100,2226
100,1917
100,2144
100,1901
100,1861
100,2152
100,1925
100,1943
100,2146
100,1906
100,1870
100,1952
100,2000
100,1963
100,1887
100,2268
100,1890
100,2139
100,1948
100,1872
100,2175
100,1935
100,1905
100,2127
100,1912
100,1848
100,2159
100,1902
100,2043
100,2040
100,1977
100,1862
100,2154
100,2044
100,2041
100,1881
100,1849
100,1942
100,2389
100,1938
100,2138
100,1926
100,1954
100,2419
100,1866
100,2215
100,1877
100,1891
100,1997
100,1938
100,1850
100,1969
100,1919
100,1946
100,1952
100,2130
100,1966
100,2217
100,1990
100,1948
100,2098
100,1889
100,1911
100,2173
100,1896
100,1991
100,1908
100,2014
100,1843
100,2182
100,1966
100,1956
100,2481
100,2042
100,1894
100,1914
100,2011
100,1913
100,1887
100,1893
100,2127
100,1937
100,2294
100,1878
100,2047
100,2152
100,1960
100,2201
100,1889
100,1877
100,2241
100,1909
100,2135
100,1925
100,1901
100,2207
100,1916
100,1879
100,2247
100,1876
100,2150
100,1946
100,1949
100,2429
100,1956
100,2120
